S1_H,S2_H,S3_H,S4_H,S5_H,S6_H,S7_H,S8_H,S9_H,S10_H,S11_H,S12_H,S13_H,S14_H,S15_H,S16_H,S1_L,S2_L,S3_L,S4_L,S5_L,S6_L,S7_L,S8_L,S9_L,S10_L,S11_L,S12_L,S13_L,S14_L,S15_L,S16_L,Ex
10.5527468948765,11.7938934145106,12.0764976200791,11.1757686015422,5.74537987459523,12.1228535908369,10.7516083424695,10.0378070414178,9.88776726638934,12.557952874461,12.3107804887554,13.3333745244189,2.67833865308086,12.5394080634037,3.31129480569185,9.35094492846427,9.65342956790009,11.196211395425,11.3813004688538,10.5798089850627,4.66287137421344,11.4949099404187,10.4852876332372,9.68060564492902,9.46656146044471,12.1330873754333,11.408111270369,12.9352639529166,2.19706719294548,9.81761137577762,2.88711848897714,8.78532074356124,1
10.2640911648967,11.7945759201738,12.0536237475905,11.1259085739627,5.73563557307819,12.2232861222004,10.7128640145982,10.0713811904154,9.71570682354949,12.5588899463383,12.3137683307791,13.3375293679671,2.6830189727176,12.516431865052,3.30250661628971,9.29839281507673,9.45824955347013,11.0589521150653,11.0450979480469,10.4776683042446,4.39608565828085,11.0797631400735,10.4458079763787,9.80315565875466,9.4027748531391,11.9496938873368,11.3767301483765,12.9412656009782,2.20997895604541,9.44933190222695,3.01046443484984,8.92531829727799,1
10.169553275154,11.6503412200777,11.871367399734,11.0359152062687,5.61942856201238,12.1172601240273,10.8479542436077,10.1387265589231,9.73332541776544,12.492742542673,12.2264042512931,13.3338135134412,2.63812551731554,12.4114215694872,3.28451517154378,9.26634818193192,9.467929473057,11.1084250936894,11.1070100408913,10.5206872692759,4.57400499762163,11.0202209567902,10.5086719634069,9.77119592824192,9.41432776078987,11.9649825753667,11.4978272042214,13.0243241432534,2.26972745006715,9.65455309461871,2.91400584469889,8.86459913230277,1
10.1999035893123,11.6726713752822,11.7499428602626,10.9963531841484,5.7197299153052,11.9053025744892,10.743267953033,10.0639561017397,9.70339716074675,12.401420045879,12.2247425404768,13.3343721558466,2.67119146809699,12.3640542204063,3.27432751610226,9.22894736444227,9.40723907440774,11.1498524847981,11.0506373732742,10.3176033633934,4.43333386454332,11.1708865226905,10.4276838385507,9.75488539358482,9.40431467843878,11.9314790458268,11.366834656547,13.0700903548792,2.21632124746723,9.4820673943868,2.92396777054937,8.91877286166539,1
11.1013247431085,14.6249196157529,13.9870223344915,13.4643659573819,5.98372471603447,13.404555525789,11.9241958147627,11.7181595133038,11.6967393955966,14.2898714241978,12.945493227636,14.103586324517,2.39728949460195,12.5340980716406,2.90473936334155,7.79946640059118,10.272790948439,13.631023358748,12.9486510832659,12.1001140040103,5.06059342990173,12.5296781035802,11.4141175790873,10.639551440679,10.6431391484206,13.4738814379125,12.3397625274594,13.744158663123,2.19985893764972,9.90023340680187,2.71819540920393,2.35968697322947,2
11.1759295231722,14.7372374800689,14.6775445571323,13.4783897657924,5.9571060641988,13.1575618366285,12.175425508295,11.7652402748199,11.6787981646202,14.279672770798,12.952581607725,14.0074309949554,2.38866229057135,12.5974819501658,2.90052257772336,5.33815958329582,10.1333249678796,13.9821980611028,13.0690511887866,12.1534460175456,4.98060115983046,12.4571246852546,11.3076356027154,10.7567124345713,10.4998227584322,12.9733299963861,12.4030308397434,13.4165393286448,2.18034565363254,9.72052093836296,2.6840641466141,1.79702964492179,2
11.1209163596335,14.3807033181351,13.987494415935,13.5581760836128,6.05516618714953,13.6364905998742,11.8642866327654,11.6997814530019,11.6346519009714,14.0695746517776,12.8916275697236,14.0847397751031,2.44983361963631,12.7096850855727,2.88844242336628,6.56698756814552,10.1894070077428,13.6243437120763,13.0802381450688,12.2042876521999,5.11079746050644,12.8449417199782,11.3188284816545,10.7498068394456,10.6395148349736,13.3866258234929,12.4387079560608,13.5565432774638,2.1311540827046,10.0168076460439,2.68253661802311,2.66089298499031,2
11.4279486056653,14.4726301212994,13.9882986377616,13.7170258265335,6.08144645383818,13.3539991532137,12.0294907150045,11.7834122136279,11.7547981136916,14.1255236505578,13.0600656883367,13.9957291744102,2.37811176685314,12.7824535826164,2.94815907458376,7.64981056970735,10.0545310430422,13.7439579689539,13.0962753543693,12.4526393016808,5.30689655746048,12.8392409826304,11.3938013271091,10.7802843992301,11.1384551856509,13.7833547517854,12.4421561585088,13.6630716374052,2.19527015893635,10.1196211133183,2.77359714134693,2.03074826592103,2
11.068291362403,14.8085653997788,14.5410885761538,13.8521701109119,6.05189657279579,13.226112282219,11.9089315520378,11.924054221186,11.8557016747765,14.1811489199725,13.1015686808574,14.1666334638867,2.38021101259469,13.0010665349543,2.93154092568491,7.68527035108536,10.1453207049555,13.4811058600503,13.1826865893546,12.2598089060688,5.0596753483789,12.7694681703117,11.4420576955519,10.5635407520535,10.8927587868913,13.6849620762363,12.5304292309547,13.5357748471219,2.19460129931951,9.940453897152,2.80509937619364,3.45912910129298,2
10.739484813755,12.9983051479009,12.7161552596941,12.0365466244931,5.52208407254767,12.2498928289102,11.4671835373191,10.8762032004867,10.9461202364785,13.6288571204623,13.482893914708,14.5205860199032,2.89011341194523,12.359630823339,2.90871621059917,8.31631649116635,10.1447964582582,12.3929497069272,12.2454633335719,11.4677556814437,4.13734030365117,11.8223115087295,10.9070798883519,10.5914023424649,10.4670847567812,12.7963906414984,12.1923030703675,13.8297992993581,2.28110556808428,8.98974052213621,2.719929578069,7.79349045008756,3
