feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,value
0.43277,0.47048,0.55076,0.43516,0.29824,0.35094,0.3526,0.49885,0.36016,0.31617,0.27746,0.28926,0.076788,0.99866,0.07474,1.4883,4.1647,2.5692,1.9479,1.2208,3.1891,2.4378,0.69157,2.0696,1.8731,0.61374,3.7528,2.4395,0.14756,2.2127,0.2378,6.2564,1.0318,0.68888,0.56258,0.39299,0.86814,0.69054,0.2318,0.75483,0.43,0.2286,1.0012,0.79223,0.054724,1.0185,0.064687,2.3863,0.58704,0.36169,0.67162,0.70138,0.46848,0.33986,0.39278,0.68357,0.59414,0.27523,0.27692,0.19666,0.13716,1.835,0.091122,2.549,11.744,15.669,15.424,13.852,6.052,14.271,12.844,12.489,12.118,14.943,13.544,14.836,2.4246,13.001,3.0489,7.3906,10.089,13.48,13.168,12.386,5.0595,12.769,11.442,10.564,10.893,13.443,12.177,13.536,2.1608,10.046,2.7496,2.702,2
0.19511,0.10668,0.13755,0.33456,0.42951,0.23546,0.20437,0.37122,0.38864,0.3968,0.47875,0.358,0.16487,1.1714,0.071583,0.16294,0.4153,1.2249,0.50533,1.9209,1.6765,0.81377,0.51569,1.2542,1.8517,0.75334,1.9717,1.3917,1.7873,2.5555,0.31828,1.5742,0.17576,0.27738,0.16026,0.42573,0.51785,0.24771,0.20182,0.3426,0.43981,0.37618,0.60324,0.31781,0.45699,1.097,0.087137,0.38008,0.34821,0.16888,0.19244,0.18717,0.77088,0.18711,0.20054,0.11628,0.24177,0.37536,0.67827,0.28491,0.26775,1.8582,0.10942,0.22833,10.749,12.896,12.69,11.838,5.4251,12.87,11.927,12.138,12.079,14.542,14.104,15.258,2.7884,12.714,2.9598,8.4955,10.145,12.489,12.141,10.524,4.1369,11.427,10.885,10.032,9.7135,12.738,12.192,13.477,2.281,8.9895,2.683,7.7934,3
0.1249,0.16353,0.2269,0.19592,0.56226,0.11445,0.26744,0.14638,0.1147,0.2172,0.41271,0.13871,0.20658,1.2185,0.057467,0.14267,0.50694,0.68923,1.3666,0.94699,1.3856,0.92418,4.5629,0.64691,0.4919,0.53288,0.82112,0.34923,1.4749,3.3161,1.0746,0.43361,0.22991,0.2855,0.2682,0.29625,0.49105,0.31734,0.87654,0.27337,0.20877,0.23728,0.34386,0.15169,0.15235,1.1003,0.22002,0.18574,0.2149,0.23761,0.4369,0.25776,1.0803,0.17288,0.34863,0.23066,0.16682,0.38638,0.78242,0.18076,0.35276,2.3052,0.069467,0.18061,10.649,12.998,12.716,12.065,5.6643,12.25,11.938,10.964,10.946,13.601,13.495,14.338,2.9131,12.364,2.9773,8.3365,10.235,12.392,12.077,11.383,4.0125,11.867,10.907,10.453,10.508,12.912,12.314,13.691,2.3037,8.9279,2.7475,7.8221,3
0.085024,0.12743,0.16315,0.13533,0.56283,0.14724,0.15816,0.13434,0.1143,0.18049,0.37154,0.12374,0.15834,1.0204,0.05379,0.13526,0.44285,0.81339,0.39536,2.1976,2.2298,1.3904,2.703,0.78277,0.97047,0.47716,1.1674,0.61382,0.54421,3.8412,0.71906,0.36603,0.13833,0.20078,0.15926,0.40884,0.57998,0.45376,0.57325,0.18898,0.24409,0.20293,0.52375,0.18607,0.16118,0.99694,0.14204,0.15068,0.092719,0.14359,0.26285,0.19449,1.0143,0.21082,0.2397,0.2088,0.10101,0.24445,0.45994,0.19158,0.19114,1.686,0.06237,0.19502,10.713,13.036,12.685,11.76,5.7566,12.111,11.622,10.934,10.998,13.479,13.507,14.186,2.7994,12.181,2.9288,8.126,10.377,12.5,12.107,11.248,4.1044,11.554,11.031,10.417,10.542,12.863,12.243,13.732,2.2989,9.0444,2.7328,7.6712,3
0.14087,0.092635,0.16472,0.22251,0.60032,0.15535,0.087869,0.16387,0.1412,0.2328,0.3413,0.16294,0.14104,1.0078,0.059457,0.11231,1.0552,0.76996,0.42696,0.66389,3.1612,0.40185,0.33341,0.84974,0.64827,0.50479,0.87349,0.55941,0.77762,2.9099,0.32674,0.39339,0.27819,0.18767,0.16328,0.3135,0.66525,0.11852,0.11755,0.34495,0.1839,0.13632,0.32369,0.19541,0.12556,1.0125,0.10987,0.1527,0.21146,0.10832,0.23066,0.20264,1.2576,0.18701,0.13101,0.22372,0.16295,0.44051,0.57971,0.23292,0.19447,1.5698,0.084561,0.107,10.991,13.072,12.673,12.026,5.7489,12.249,11.407,11.182,10.922,13.4,13.204,14.283,2.7711,12.25,2.9328,8.1888,10.477,12.742,12.071,11.129,4.1534,11.711,11.095,10.545,10.396,12.716,12.125,13.688,2.328,8.9008,2.7292,7.7369,3
0.19263,0.11407,0.27171,0.14403,0.4814,0.14193,0.13615,0.15675,0.12409,0.26677,0.4138,0.18845,0.1389,1.0202,0.047051,0.2038,0.49653,0.45959,0.97858,0.34429,1.1686,0.83303,1.9427,0.35068,0.3502,2.385,1.1199,0.63174,0.67887,2.528,0.15569,0.49881,0.20936,0.14714,0.36052,0.21625,0.3728,0.29552,0.3511,0.16913,0.18842,0.51627,0.36191,0.16443,0.18026,0.8364,0.052524,0.19018,0.18664,0.21651,0.43841,0.20663,0.92557,0.16345,0.20065,0.21662,0.16801,0.52394,0.75131,0.28976,0.24802,1.7194,0.069652,0.24801,11.053,13.082,12.731,11.777,5.4599,12.091,11.567,11.108,10.951,13.382,13.196,14.367,2.6599,12.099,2.996,8.1959,10.354,12.722,11.814,11.284,4.0819,11.497,11.02,10.537,10.519,12.553,11.983,13.75,2.2379,8.9366,2.8352,7.477,3
0.10865,0.13147,0.15553,0.13599,0.45136,0.24407,0.11865,0.12051,0.10788,0.16676,0.42023,0.084478,0.14369,1.1082,0.046063,0.24485,0.59137,0.98591,0.32364,0.58449,1.0781,0.94678,1.8276,2.3329,0.36984,0.69602,1.2477,0.38164,0.62686,3.2037,0.46131,0.612,0.14863,0.28546,0.1312,0.21436,0.34286,0.31857,0.35808,0.4966,0.10363,0.22443,0.36,0.10734,0.18448,0.91238,0.11962,0.20159,0.11551,0.21091,0.2947,0.15909,0.84474,0.41501,0.13435,0.1227,0.10516,0.24443,0.73601,0.13411,0.23227,1.7708,0.059423,0.51262,10.893,13.086,12.587,11.726,5.4203,12.268,11.566,10.886,10.715,13.293,13.247,14.096,2.6768,12.195,2.9816,8.3926,10.424,12.597,12.125,11.246,4.1066,11.442,11.073,10.373,10.29,12.69,11.897,13.803,2.2207,8.6561,2.8107,7.723,3
0.11057,0.121,0.12385,0.17244,0.41218,0.15564,0.066604,0.15836,0.080301,0.19916,0.273,0.086863,0.066867,0.94818,0.055081,0.21354,0.3516,1.4123,1.8792,0.38796,1.0466,0.81688,0.88683,1.1459,0.37577,1.3121,1.1874,0.34533,0.21864,2.8844,0.17821,0.47443,0.14179,0.32396,0.36516,0.17339,0.32782,0.22411,0.22781,0.24284,0.13099,0.35446,0.35356,0.11348,0.072103,0.81275,0.053376,0.21124,0.15365,0.18447,0.15582,0.23899,0.73246,0.2438,0.070215,0.22144,0.12384,0.29118,0.44349,0.12997,0.1011,1.2878,0.055343,0.31866,10.842,13.197,12.509,11.9,5.3019,12.05,11.378,10.886,10.728,13.25,12.837,14.058,2.4875,11.855,3.013,8.2403,10.417,12.769,12.01,11.236,4.0638,11.415,11.097,10.299,10.414,12.527,12.004,13.751,2.2447,8.693,2.7866,7.5258,3
0.24758,0.27024,0.29179,0.28635,0.24842,0.48627,0.27302,0.16298,0.10646,0.22677,0.25531,0.17511,0.092245,0.38665,0.2058,0.17412,0.53244,0.8029,2.3099,1.4808,0.65278,1.2573,2.6664,0.53456,0.44389,1.4838,0.40542,0.86439,0.080022,0.43993,1.1294,0.48946,0.20103,0.3833,0.61027,0.39088,0.21458,0.46034,0.63777,0.19703,0.11293,0.32281,0.14861,0.23185,0.042295,0.17436,0.2829,0.18402,0.34841,0.52278,0.48335,0.3603,0.21986,0.58753,0.21926,0.15294,0.14162,0.1377,0.2477,0.13017,0.05441,0.3258,0.32191,0.29493,9.4971,11.323,11.268,11.422,5.3716,12.24,11.496,11.04,9.8423,12.016,12,13.636,2.5399,10.541,3.7771,11.121,8.4611,10.426,10.149,10.15,4.2208,10.187,10.226,10.253,9.2813,10.943,10.871,12.797,2.1119,8.8647,3.0028,10.505,4
0.1059,0.14659,0.15091,0.16274,0.12323,0.30609,0.073554,0.0366,0.03787,0.07899,0.062665,0.10007,0.049945,0.16607,0.13944,0.12842,0.27125,0.54329,0.38387,2.3891,0.40655,3.1029,0.25042,0.75247,0.18468,0.23532,0.21885,0.22026,0.31978,0.72002,0.49886,0.63933,0.13636,0.16281,0.15832,0.30831,0.17804,0.36646,0.094657,0.15088,0.055856,0.084971,0.072032,0.098435,0.086427,0.2652,0.15517,0.1212,0.18262,0.14002,0.22803,0.27878,0.22183,0.29455,0.1159,0.041092,0.058452,0.11985,0.1049,0.17012,0.053711,0.20198,0.1073,0.21668,9.2038,11.254,11.128,11.084,4.7402,11.393,10.771,10.629,9.5943,11.384,11.283,13.143,2.3218,9.5402,3.5161,10.936,8.8331,10.711,10.638,10.472,4.3371,10.301,10.521,10.481,9.4534,11.124,11.073,12.841,2.1166,8.909,3.013,10.528,4
