feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,value
0.42453,0.66303,0.53234,0.47097,0.33229,0.31172,0.4079,0.53437,0.3534,0.39192,0.25845,0.26746,0.091457,1.0227,0.085345,2.0251,1.4837,7.7164,1.9778,4.4899,1.4007,1.9981,1.7969,1.269,1.8855,1.6762,1.0334,1.6357,0.71417,3.8264,0.55172,22.754,0.55664,0.80443,0.68563,0.94381,0.48508,0.58972,0.50027,0.4561,0.56853,0.57726,0.34057,0.51251,0.15428,0.91195,0.17999,3.864,0.665,0.56,0.565,0.7025,0.38,0.315,0.3225,0.725,0.38,0.265,0.2525,0.265,0.125,1.695,0.11,3.5275,1.1114,1.3627,1.1843,1.137,0.9588,1.0509,1.2082,1.108,1.106,1.2119,1.0791,1.074,0.84557,1.0418,0.69039,0.73365,0.89992,0.91554,0.91374,0.98325,0.66964,0.93551,0.97058,0.80879,0.9589,0.95313,0.95007,0.94439,0.66071,0.78652,0.58705,0.17665,2
0.26528,0.24798,0.27012,0.48005,0.45799,0.25035,0.37859,0.23771,0.30381,0.30454,0.3913,0.39548,0.17167,1.2083,0.14786,0.21273,1.8945,2.3767,1.8548,2.0628,1.7466,1.6596,1.6917,1.6143,1.8358,2.1262,2.0169,1.3959,0.5561,3.1078,0.98435,1.6729,0.4809,0.64438,0.63357,0.54136,0.52505,0.47795,0.57799,0.52829,0.3321,0.52151,0.66407,0.46101,0.18229,1.0047,0.24158,0.51398,0.31,0.25,0.24,0.3,0.795,0.195,0.28,0.31,0.16,0.44,0.52,0.24,0.31,1.82,0.115,0.25,1.0029,1.0774,1.0599,0.98082,0.84162,0.96041,1.062,1.0137,1.0225,1.0904,1.0667,1.1654,0.96881,1.1005,0.75196,0.767,0.88185,0.97521,0.94747,0.72348,0.59202,0.85403,0.80954,0.92921,0.80998,0.97838,0.94229,0.99742,0.75656,0.69297,0.49471,0.68408,3
0.29251,0.45846,0.33536,0.31621,0.60224,0.23948,0.50676,0.37448,0.39715,0.33501,0.46621,0.25617,0.21485,1.249,0.13454,0.27008,1.5717,2.1671,1.7312,3.0203,1.939,1.6113,1.2167,1.2486,2.3997,1.693,1.6946,1.3397,0.81275,3.6998,0.93316,2.7468,0.48555,0.55449,0.70481,0.78987,0.58345,0.50628,0.36039,0.42326,0.49593,0.54982,0.58959,0.50628,0.17562,1.0674,0.27213,0.56107,0.315,0.3,0.445,0.33,1.0475,0.295,0.2,0.255,0.23,0.37,0.735,0.345,0.355,2.4,0.0975,0.19,1.068,1.1567,1.0679,0.99215,0.87358,0.95664,1.1508,1.0406,1.1115,1.1251,1.0542,1.0711,1.0065,1.0054,0.72117,0.78142,0.88366,0.84605,0.94185,0.86914,0.51288,0.86912,0.82521,0.79262,0.82633,1.0005,0.90808,0.99153,0.7771,0.66918,0.49911,0.62459,3
0.19204,0.34749,0.29577,0.35913,0.56537,0.31313,0.35855,0.27355,0.23651,0.22757,0.52224,0.23593,0.16801,1.0547,0.081703,0.2358,1.3311,2.0949,1.6972,1.6961,2.4745,1.5604,1.4843,1.5067,0.94887,1.1816,2.2497,1.3167,0.7758,2.5921,0.51206,1.5215,0.58833,0.53995,0.43157,0.56919,0.57545,0.56792,0.39643,0.34379,0.37237,0.39855,0.64289,0.50027,0.24386,0.9399,0.15215,0.34827,0.23,0.2925,0.3375,0.385,1.025,0.33,0.22,0.195,0.195,0.24,0.63,0.23,0.235,1.62,0.0675,0.265,0.99028,1.1281,1.088,1.0197,0.90097,0.92797,1.1212,1.0406,1.0352,1.0841,1.0853,1.0755,0.97908,0.97364,0.686,0.81747,0.90896,0.97521,0.95148,0.80926,0.59811,0.81857,0.91748,0.85912,0.90442,0.99889,0.88476,0.99153,0.76683,0.64698,0.58925,0.67867,3
0.31603,0.25448,0.27078,0.37369,0.643,0.28582,0.15316,0.42602,0.30688,0.35217,0.40267,0.32756,0.17061,1.0604,0.1197,0.17732,1.7831,1.2939,2.1767,2.1024,1.767,1.3549,0.88624,1.6783,1.2578,2.0299,1.7667,1.2974,0.61509,3.1453,0.68972,1.3131,0.47882,0.48469,0.69852,0.63685,0.49851,0.41181,0.33393,0.51899,0.38639,0.55985,0.51035,0.53933,0.19121,1.1385,0.16985,0.42411,0.21,0.3025,0.3725,0.305,1.145,0.415,0.2,0.265,0.235,0.48,0.645,0.37,0.2375,1.805,0.0975,0.245,1.1204,1.106,1.0382,1.0909,0.99381,0.94909,1.0115,1.1341,1.0406,1.1157,1.0853,1.1168,0.97224,0.98633,0.6706,0.75798,0.91619,1.0079,0.93944,0.87238,0.6179,0.84498,0.94186,0.91663,0.81543,0.97838,0.93607,0.98416,0.70521,0.68662,0.49691,0.68768,3
0.28432,0.24573,0.55768,0.31936,0.49674,0.32286,0.34286,0.41726,0.25827,0.41569,0.5311,0.26905,0.15119,1.0635,0.077878,0.25013,1.3103,2.9308,3.2115,1.8307,2.0006,2.2622,1.1291,1.0388,1.1329,1.3744,1.6356,1.5623,0.61398,2.9236,0.23966,2.355,0.44166,0.49921,0.84645,0.65989,0.43555,0.59498,0.40652,0.33935,0.36996,0.48854,0.43573,0.53164,0.20684,1.0445,0.097103,0.39505,0.25,0.25,0.3875,0.335,0.9575,0.2575,0.2,0.275,0.255,0.515,0.77,0.37,0.2425,1.745,0.0775,0.32,1.0879,1.0856,1.1683,0.98244,0.84162,0.94155,1.0498,1.1179,1.0733,1.0667,1.0698,1.0917,0.94143,0.97998,0.675,0.74897,0.91438,0.98502,0.85754,0.85134,0.61485,0.79745,0.86003,0.80879,0.9353,0.88369,0.83189,0.993,0.73602,0.68979,0.58705,0.65794,3
0.37468,0.3144,0.24113,0.23172,0.46461,0.35302,0.30922,0.36372,0.25259,0.36992,0.45723,0.27806,0.15844,1.1383,0.089934,0.27821,1.2863,1.584,1.3651,1.9374,1.9914,2.0051,1.706,1.0336,1.4708,2.4418,1.8148,1.9067,0.83922,4.5794,0.83737,1.2761,0.42917,0.52071,0.40725,0.5912,0.41134,0.56408,0.41505,0.30455,0.53836,0.65329,0.58589,0.57682,0.20481,1.0865,0.21081,0.42014,0.2,0.2875,0.3375,0.35,0.8325,0.3,0.215,0.185,0.235,0.395,0.725,0.34,0.225,1.765,0.11,0.43,1.1204,1.1035,1.0382,0.96464,0.83096,1.0162,1.1316,1.0083,1.0079,1.1267,1.0589,1.0947,0.938,0.96888,0.6816,0.77241,0.91619,0.93189,0.9555,0.88047,0.60572,0.83592,0.92793,0.77824,0.84449,0.92314,0.91119,0.99153,0.72918,0.66442,0.59805,0.67326,3
0.24792,0.34867,0.40499,0.24821,0.44176,0.29682,0.19151,0.33116,0.20136,0.33121,0.3303,0.24249,0.14295,0.97618,0.081681,0.29969,1.5402,3.5235,2.4655,1.4492,1.6058,1.8422,1.783,1.4574,1.3233,1.6017,1.4476,1.4471,0.86756,3.5259,0.73434,1.8586,0.4213,0.7698,0.64833,0.48783,0.44321,0.64451,0.41187,0.44595,0.44957,0.52802,0.59952,0.50607,0.15822,1.1254,0.17639,0.49743,0.275,0.2875,0.3875,0.295,0.7975,0.325,0.235,0.255,0.235,0.33,0.48,0.295,0.1525,1.49,0.0975,0.38,1.0336,1.1591,1.1201,0.97597,0.84923,0.91439,1.0219,1.0083,0.99341,1.0778,1.0107,1.0829,0.90035,0.94668,0.686,0.79854,0.9198,0.98747,0.89126,0.88047,0.59659,0.78085,0.93315,0.78363,0.89716,0.94366,0.91897,0.98122,0.59224,0.67077,0.60025,0.65434,3
0.18101,0.45676,0.31324,0.22711,0.20557,0.41618,0.21448,0.12355,0.084109,0.18344,0.2058,0.14656,0.052587,0.23827,0.18389,0.19391,0.55344,1.0771,2.108,1.3052,0.69065,2.596,0.92481,0.69724,0.42705,0.75269,0.84432,1.0389,0.28837,2.0334,0.79832,0.6651,0.1919,0.32992,0.35998,0.35336,0.21359,0.61382,0.24462,0.21572,0.1392,0.21198,0.25483,0.24521,0.081231,0.40141,0.27595,0.1318,0.235,0.345,0.3525,0.3125,0.23,0.665,0.1975,0.145,0.1275,0.2425,0.2925,0.1625,0.06,0.33,0.28,0.28,0.82493,1.0079,0.92338,0.88533,0.82944,0.89326,1.0124,0.97594,0.87173,0.91762,0.91663,0.96722,0.80107,0.76829,0.8553,1.0176,0.76259,0.74142,0.77403,0.81492,0.63464,0.7469,0.88266,0.91753,0.83995,0.8545,0.83578,0.90829,0.70521,0.69059,0.63982,0.9103,4
0.1195,0.30478,0.27922,0.27334,0.19189,0.32862,0.2145,0.099041,0.080846,0.097126,0.13908,0.17108,0.11132,0.32204,0.17813,0.14784,0.48701,1.2909,0.89348,0.92563,0.8297,2.6456,0.84439,0.78656,0.49984,0.56508,0.8239,0.81475,0.24028,1.3308,1.0912,0.66268,0.19379,0.37062,0.21163,0.27806,0.18101,0.44,0.21341,0.22722,0.18047,0.18621,0.22535,0.25696,0.07599,0.43022,0.32302,0.17185,0.185,0.1675,0.225,0.225,0.145,0.395,0.1425,0.1175,0.09,0.15,0.15,0.1775,0.05,0.33,0.185,0.2475,0.83487,0.99565,0.95469,0.9873,0.8127,0.86007,1.0211,0.96606,0.89443,0.90342,0.88865,0.993,0.93116,0.81665,0.80473,0.99052,0.79331,0.78229,0.77805,0.82787,0.58594,0.77331,0.85916,0.91573,0.83995,0.87186,0.82101,0.91124,0.69152,0.67314,0.62883,0.94455,4
